Colony.ID,Date,Northing,Easting,DIST,PIC,DFPIC,TEMP,IRR,SIZE,DIS
47,3-Jul,2029991.27,322464.66,1.050047618,0,21.42924404,28.33801075,6.1765,9520,0
48,3-Jul,2029995.63,322471.04,6.892445139,0,23.86827392,28.33801075,6.1765,4160,0
49A,3-Jul,2030002.4,322457.36,1.060047169,0,8.626679547,28.33801075,6.1765,5625,0
49B,3-Jul,2030002.39,322458.42,1.060047169,0,9.551779939,28.33801075,6.1765,7750,0
50,3-Jul,2029995.79,322454.13,6.968364227,0,11.85280558,28.33801075,6.1765,170000,0
51,3-Jul,2030004.66,322452.1,2.210090496,0,3.070439708,28.33801075,6.1765,5000,0
52,3-Jul,2030002.45,322452.08,2.120094338,0,4.91211767,28.33801075,6.1765,162000,0
53,3-Jul,2030006.9,322450,3.070439708,2,312.9390615,28.33801075,6.1765,94500,0
54,3-Jul,2030013.5,322454.29,4.764714052,0,7.871727892,28.33801075,6.1765,539484,0
55,3-Jul,2030002.47,322449.96,2.120094338,0,4.430180583,28.33801075,6.1765,43750,0
56,3-Jul,2030002.52,322444.68,5.280236737,0,6.891066681,28.33801075,6.1765,36750,0
57,3-Jul,2030014.69,322444.79,5.404960684,0,9.371670075,28.33801075,6.1765,1344,0
058A,3-Jul,2030015.75,322450.09,4.764714052,0,8.850457615,28.33801075,6.1765,22176,0
058B,3-Jul,2030004.78,322439.41,5.734152073,0,10.80011574,28.33801075,6.1765,11592,0
59,3-Jul,2030016.97,322438.47,6.718690349,0,15.30835719,28.33801075,6.1765,160,0
60,3-Jul,2030034.81,322423.84,23.07168178,0,38.25328352,28.33801075,6.1765,5000,0
1,3-Aug,2029536.37,322580.95,6.375578405,0,46.36969916,28.88144772,6.3418,15120,0
2,3-Aug,2029541.93,322577.83,1.050047618,1,40.35404565,28.88144772,6.3418,17280,0
3,3-Aug,2029541.94,322576.78,1.050047618,1,40.20219397,28.88144772,6.3418,68000,0
4A,3-Aug,2029581.83,322572.92,1.060047169,2,1.060047169,28.88144772,6.3418,292500,0
4B,3-Aug,2029580.72,322572.91,1.110045044,2,1.535219854,28.88144772,6.3418,3375,0
4C,3-Aug,2029579.62,322571.84,1.534568343,0,2.220090088,28.88144772,6.3418,375,0
5,3-Aug,2029599.52,322575.19,9.402260367,2,17.99086713,28.88144772,6.3418,94500,0
6,3-Aug,2029581.84,322571.86,1.060047169,2,0,28.88144772,6.3418,265200,0
7,3-Aug,2029608.4,322572.1,7.736284638,1,26.56108432,28.88144772,6.3418,11232,0
8,3-Aug,2029612.89,322565.8,7.736284638,1,31.63583569,28.88144772,6.3418,45150,0
9,3-Aug,2029622.85,322565.9,9.960501995,0,41.44082166,28.88144772,6.3418,44100,1
